Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution,Slug,Test_Cases,Has_Solutions,Languages
57, Insert Interval,['Array'],42.40%,False,Medium,https://leetcode.com/problems/insert-interval/description,https://leetcode.com/problems/insert-interval/solutions,insert-interval,"[{""input"": ""intervals = [[1,3],[6,9]], newInterval = [2,5]"", ""expectedOutput"": ""[[1,5],[6,9]]""}, {""input"": ""intervals = [[1,2],[3,5],[6,7],[8,10],[12,16]], newInterval = [4,8]"", ""expectedOutput"": ""[[1,2],[3,10],[12,16]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
58, Length of Last Word,['String'],54.20%,False,Easy,https://leetcode.com/problems/length-of-last-word/description,https://leetcode.com/problems/length-of-last-word/solutions,length-of-last-word,"[{""input"": ""s =  \""Hello World \"""", ""expectedOutput"": ""5""}, {""input"": ""s =  \""   fly me   to   the moon   \"""", ""expectedOutput"": ""4""}, {""input"": ""s =  \""luffy is still joyboy \"""", ""expectedOutput"": ""6""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
59, Spiral Matrix II,"['Array', 'Matrix', 'Simulation']",72.30%,False,Medium,https://leetcode.com/problems/spiral-matrix-ii/description,https://leetcode.com/problems/spiral-matrix-ii/solutions,spiral-matrix-ii,"[{""input"": ""n = 3"", ""expectedOutput"": ""[[1,2,3],[8,9,4],[7,6,5]]""}, {""input"": ""n = 1"", ""expectedOutput"": ""[[1]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
60, Permutation Sequence,"['Math', 'Recursion']",48.40%,False,Hard,https://leetcode.com/problems/permutation-sequence/description,https://leetcode.com/problems/permutation-sequence/solutions,permutation-sequence,"[{""input"": ""n = 3, k = 3"", ""expectedOutput"": ""\""213\""""}, {""input"": ""n = 4, k = 9"", ""expectedOutput"": ""\""2314\""""}, {""input"": ""n = 3, k = 1"", ""expectedOutput"": ""\""123\""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
61, Rotate List,"['Linked List', 'Two Pointers']",38.80%,False,Medium,https://leetcode.com/problems/rotate-list/description,https://leetcode.com/problems/rotate-list/solutions,rotate-list,"[{""input"": ""head = [1,2,3,4,5], k = 2"", ""expectedOutput"": ""[4,5,1,2,3]""}, {""input"": ""head = [0,1,2], k = 4"", ""expectedOutput"": ""[2,0,1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
62, Unique Paths,"['Math', 'Dynamic Programming', '1+']",65.00%,False,Medium,https://leetcode.com/problems/unique-paths/description,https://leetcode.com/problems/unique-paths/solutions,unique-paths,"[{""input"": ""m = 3, n = 7"", ""expectedOutput"": ""28""}, {""input"": ""m = 3, n = 2"", ""expectedOutput"": ""3""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
63, Unique Paths II,"['Array', 'Dynamic Programming', 'Matrix']",42.30%,False,Medium,https://leetcode.com/problems/unique-paths-ii/description,https://leetcode.com/problems/unique-paths-ii/solutions,unique-paths-ii,"[{""input"": ""obstacleGrid = [[0,0,0],[0,1,0],[0,0,0]]"", ""expectedOutput"": ""2""}, {""input"": ""obstacleGrid = [[0,1],[0,0]]"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
64, Minimum Path Sum,"['Array', 'Dynamic Programming', 'Matrix']",65.20%,False,Medium,https://leetcode.com/problems/minimum-path-sum/description,https://leetcode.com/problems/minimum-path-sum/solutions,minimum-path-sum,"[{""input"": ""grid = [[1,3,1],[1,5,1],[4,2,1]]"", ""expectedOutput"": ""7""}, {""input"": ""grid = [[1,2,3],[4,5,6]]"", ""expectedOutput"": ""12""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
65, Valid Number,['String'],20.50%,False,Hard,https://leetcode.com/problems/valid-number/description,https://leetcode.com/problems/valid-number/solutions,valid-number,"[{""input"": ""s =  \""0 \"""", ""expectedOutput"": ""true""}, {""input"": ""s =  \""e \"""", ""expectedOutput"": ""false""}, {""input"": ""s =  \"". \"""", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
66, Plus One,"['Array', 'Math']",46.40%,False,Easy,https://leetcode.com/problems/plus-one/description,https://leetcode.com/problems/plus-one/solutions,plus-one,"[{""input"": ""digits = [1,2,3]"", ""expectedOutput"": ""[1,2,4]""}, {""input"": ""digits = [4,3,2,1]"", ""expectedOutput"": ""[4,3,2,2]""}, {""input"": ""digits = [9]"", ""expectedOutput"": ""[1,0]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
67, Add Binary,"['Math', 'String', 'Bit Manipulation', '1+']",54.50%,False,Easy,https://leetcode.com/problems/add-binary/description,https://leetcode.com/problems/add-binary/solutions,add-binary,"[{""input"": ""a = \""11\"", b = \""1\"""", ""expectedOutput"": ""\""100\""""}, {""input"": ""a = \""1010\"", b = \""1011\"""", ""expectedOutput"": ""\""10101\""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
68, Text Justification,"['Array', 'String', 'Simulation']",45.70%,False,Hard,https://leetcode.com/problems/text-justification/description,https://leetcode.com/problems/text-justification/solutions,text-justification,"[{""input"": ""words = [ \""This \"",  \""is \"",  \""an \"",  \""example \"",  \""of \"",  \""text \"",  \""justification. \""], maxWidth = 16"", ""expectedOutput"": ""[""}, {""input"": ""words = [ \""What \"", \""must \"", \""be \"", \""acknowledgment \"", \""shall \"", \""be \""], maxWidth = 16"", ""expectedOutput"": ""[""}, {""input"": ""words = [ \""Science \"", \""is \"", \""what \"", \""we \"", \""understand \"", \""well \"", \""enough \"", \""to \"", \""explain \"", \""to \"", \""a \"", \""computer. \"", \""Art \"", \""is \"", \""everything \"", \""else \"", \""we \"", \""do \""], maxWidth = 20"", ""expectedOutput"": ""[""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
69, Sqrt(x),"['Math', 'Binary Search']",39.50%,False,Easy,https://leetcode.com/problems/sqrt(x)/description,https://leetcode.com/problems/sqrt(x)/solutions,sqrtx,"[{""input"": ""x = 4"", ""expectedOutput"": ""2""}, {""input"": ""x = 8"", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
70, Climbing Stairs,"['Math', 'Dynamic Programming', '1+']",53.20%,False,Easy,https://leetcode.com/problems/climbing-stairs/description,https://leetcode.com/problems/climbing-stairs/solutions,climbing-stairs,"[{""input"": ""n = 2"", ""expectedOutput"": ""2""}, {""input"": ""n = 3"", ""expectedOutput"": ""3""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
71, Simplify Path,"['String', 'Stack']",44.80%,False,Medium,https://leetcode.com/problems/simplify-path/description,https://leetcode.com/problems/simplify-path/solutions,simplify-path,"[{""input"": ""path =  \""/home/ \"""", ""expectedOutput"": ""\""/home \""""}, {""input"": ""path =  \""/../ \"""", ""expectedOutput"": ""\""/ \""""}, {""input"": ""path =  \""/home//foo/ \"""", ""expectedOutput"": ""\""/home/foo \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
72, Edit Distance,"['String', 'Dynamic Programming']",57.60%,False,Medium,https://leetcode.com/problems/edit-distance/description,https://leetcode.com/problems/edit-distance/solutions,edit-distance,"[{""input"": ""word1 =  \""horse \"", word2 =  \""ros \"""", ""expectedOutput"": ""3""}, {""input"": ""word1 =  \""intention \"", word2 =  \""execution \"""", ""expectedOutput"": ""5""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
73, Set Matrix Zeroes,"['Array', 'Hash Table', 'Matrix']",57.80%,False,Medium,https://leetcode.com/problems/set-matrix-zeroes/description,https://leetcode.com/problems/set-matrix-zeroes/solutions,set-matrix-zeroes,"[{""input"": ""matrix = [[1,1,1],[1,0,1],[1,1,1]]"", ""expectedOutput"": ""[[1,0,1],[0,0,0],[1,0,1]]""}, {""input"": ""matrix = [[0,1,2,0],[3,4,5,2],[1,3,1,5]]"", ""expectedOutput"": ""[[0,0,0,0],[0,4,5,0],[0,3,1,0]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
74, Search a 2D Matrix,"['Array', 'Binary Search', 'Matrix']",51.20%,False,Medium,https://leetcode.com/problems/search-a-2d-matrix/description,https://leetcode.com/problems/search-a-2d-matrix/solutions,search-a-2d-matrix,"[{""input"": ""matrix = [[1,3,5,7],[10,11,16,20],[23,30,34,60]], target = 3"", ""expectedOutput"": ""true""}, {""input"": ""matrix = [[1,3,5,7],[10,11,16,20],[23,30,34,60]], target = 13"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
75, Sort Colors,"['Array', 'Two Pointers', 'Sorting']",65.40%,False,Medium,https://leetcode.com/problems/sort-colors/description,https://leetcode.com/problems/sort-colors/solutions,sort-colors,"[{""input"": ""nums = [2,0,2,1,1,0]"", ""expectedOutput"": ""[0,0,1,1,2,2]""}, {""input"": ""nums = [2,0,1]"", ""expectedOutput"": ""[0,1,2]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
76, Minimum Window Substring,"['Hash Table', 'String', 'Sliding Window']",44.00%,False,Hard,https://leetcode.com/problems/minimum-window-substring/description,https://leetcode.com/problems/minimum-window-substring/solutions,minimum-window-substring,"[{""input"": ""s =  \""ADOBECODEBANC \"", t =  \""ABC \"""", ""expectedOutput"": ""\""BANC \""""}, {""input"": ""s =  \""a \"", t =  \""a \"""", ""expectedOutput"": ""\""a \""""}, {""input"": ""s =  \""a \"", t =  \""aa \"""", ""expectedOutput"": ""\"" \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
77, Combinations,['Backtracking'],71.50%,False,Medium,https://leetcode.com/problems/combinations/description,https://leetcode.com/problems/combinations/solutions,combinations,"[{""input"": ""n = 4, k = 2"", ""expectedOutput"": ""[[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]]""}, {""input"": ""n = 1, k = 1"", ""expectedOutput"": ""[[1]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
78, Subsets,"['Array', 'Backtracking', 'Bit Manipulation']",79.50%,False,Medium,https://leetcode.com/problems/subsets/description,https://leetcode.com/problems/subsets/solutions,subsets,"[{""input"": ""nums = [1,2,3]"", ""expectedOutput"": ""[[],[1],[2],[1,2],[3],[1,3],[2,3],[1,2,3]]""}, {""input"": ""nums = [0]"", ""expectedOutput"": ""[[],[0]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
79, Word Search,"['Array', 'String', 'Backtracking', '1+']",43.90%,False,Medium,https://leetcode.com/problems/word-search/description,https://leetcode.com/problems/word-search/solutions,word-search,"[{""input"": ""board = [[ \""A \"", \""B \"", \""C \"", \""E \""],[ \""S \"", \""F \"", \""C \"", \""S \""],[ \""A \"", \""D \"", \""E \"", \""E \""]], word =  \""ABCCED \"""", ""expectedOutput"": ""true""}, {""input"": ""board = [[ \""A \"", \""B \"", \""C \"", \""E \""],[ \""S \"", \""F \"", \""C \"", \""S \""],[ \""A \"", \""D \"", \""E \"", \""E \""]], word =  \""SEE \"""", ""expectedOutput"": ""true""}, {""input"": ""board = [[ \""A \"", \""B \"", \""C \"", \""E \""],[ \""S \"", \""F \"", \""C \"", \""S \""],[ \""A \"", \""D \"", \""E \"", \""E \""]], word =  \""ABCB \"""", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
80, Remove Duplicates from Sorted Array II,"['Array', 'Two Pointers']",60.70%,False,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/description,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/solutions,remove-duplicates-from-sorted-array-ii,"[{""input"": ""nums = [1,1,1,2,2,3]"", ""expectedOutput"": ""5, nums = [1,1,2,2,3,\\_]""}, {""input"": ""nums = [0,0,1,1,1,1,2,3,3]"", ""expectedOutput"": ""7, nums = [0,0,1,1,2,3,3,\\_,\\_]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
81, Search in Rotated Sorted Array II,"['Array', 'Binary Search']",38.30%,False,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/description,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/solutions,search-in-rotated-sorted-array-ii,"[{""input"": ""nums = [2,5,6,0,0,1,2], target = 0"", ""expectedOutput"": ""true""}, {""input"": ""nums = [2,5,6,0,0,1,2], target = 3"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
82, Remove Duplicates from Sorted List II,"['Linked List', 'Two Pointers']",48.60%,False,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/description,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/solutions,remove-duplicates-from-sorted-list-ii,"[{""input"": ""head = [1,2,3,3,4,4,5]"", ""expectedOutput"": ""[1,2,5]""}, {""input"": ""head = [1,1,1,2,3]"", ""expectedOutput"": ""[2,3]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
83, Remove Duplicates from Sorted List,['Linked List'],53.70%,False,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-list/description,https://leetcode.com/problems/remove-duplicates-from-sorted-list/solutions,remove-duplicates-from-sorted-list,"[{""input"": ""head = [1,1,2]"", ""expectedOutput"": ""[1,2]""}, {""input"": ""head = [1,1,2,3,3]"", ""expectedOutput"": ""[1,2,3]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
84, Largest Rectangle in Histogram,"['Array', 'Stack', 'Monotonic Stack']",45.80%,False,Hard,https://leetcode.com/problems/largest-rectangle-in-histogram/description,https://leetcode.com/problems/largest-rectangle-in-histogram/solutions,largest-rectangle-in-histogram,"[{""input"": ""heights = [2,1,5,6,2,3]"", ""expectedOutput"": ""10""}, {""input"": ""heights = [2,4]"", ""expectedOutput"": ""4""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
85, Maximal Rectangle,"['Array', 'Dynamic Programming', '3+']",52.00%,False,Hard,https://leetcode.com/problems/maximal-rectangle/description,https://leetcode.com/problems/maximal-rectangle/solutions,maximal-rectangle,"[{""input"": ""matrix = [[ \""1 \"", \""0 \"", \""1 \"", \""0 \"", \""0 \""],[ \""1 \"", \""0 \"", \""1 \"", \""1 \"", \""1 \""],[ \""1 \"", \""1 \"", \""1 \"", \""1 \"", \""1 \""],[ \""1 \"", \""0 \"", \""0 \"", \""1 \"", \""0 \""]]"", ""expectedOutput"": ""6""}, {""input"": ""matrix = [[ \""0 \""]]"", ""expectedOutput"": ""0""}, {""input"": ""matrix = [[ \""1 \""]]"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
86, Partition List,"['Linked List', 'Two Pointers']",57.50%,False,Medium,https://leetcode.com/problems/partition-list/description,https://leetcode.com/problems/partition-list/solutions,partition-list,"[{""input"": ""head = [1,4,3,2,5,2], x = 3"", ""expectedOutput"": ""[1,2,2,4,3,5]""}, {""input"": ""head = [2,1], x = 2"", ""expectedOutput"": ""[1,2]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
87, Scramble String,"['String', 'Dynamic Programming']",41.00%,False,Hard,https://leetcode.com/problems/scramble-string/description,https://leetcode.com/problems/scramble-string/solutions,scramble-string,"[{""input"": ""s1 =  \""great \"", s2 =  \""rgeat \"""", ""expectedOutput"": ""true""}, {""input"": ""s1 =  \""abcde \"", s2 =  \""caebd \"""", ""expectedOutput"": ""false""}, {""input"": ""s1 =  \""a \"", s2 =  \""a \"""", ""expectedOutput"": ""true""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
88, Merge Sorted Array,"['Array', 'Two Pointers', 'Sorting']",51.40%,False,Easy,https://leetcode.com/problems/merge-sorted-array/description,https://leetcode.com/problems/merge-sorted-array/solutions,merge-sorted-array,"[{""input"": ""nums1 = [1,2,3,0,0,0], m = 3, nums2 = [2,5,6], n = 3"", ""expectedOutput"": ""[1,2,2,3,5,6]""}, {""input"": ""nums1 = [1], m = 1, nums2 = [], n = 0"", ""expectedOutput"": ""[1]""}, {""input"": ""nums1 = [0], m = 0, nums2 = [1], n = 1"", ""expectedOutput"": ""[1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
89, Gray Code,"['Math', 'Backtracking', 'Bit Manipulation']",60.30%,False,Medium,https://leetcode.com/problems/gray-code/description,https://leetcode.com/problems/gray-code/solutions,gray-code,"[{""input"": ""n = 2"", ""expectedOutput"": ""[0,1,3,2]""}, {""input"": ""n = 1"", ""expectedOutput"": ""[0,1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
90, Subsets II,"['Array', 'Backtracking', 'Bit Manipulation']",58.30%,False,Medium,https://leetcode.com/problems/subsets-ii/description,https://leetcode.com/problems/subsets-ii/solutions,subsets-ii,"[{""input"": ""nums = [1,2,2]"", ""expectedOutput"": ""[[],[1],[1,2],[1,2,2],[2],[2,2]]""}, {""input"": ""nums = [0]"", ""expectedOutput"": ""[[],[0]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
91, Decode Ways,"['String', 'Dynamic Programming']",35.60%,False,Medium,https://leetcode.com/problems/decode-ways/description,https://leetcode.com/problems/decode-ways/solutions,decode-ways,"[{""input"": ""s =  \""12 \"""", ""expectedOutput"": ""2""}, {""input"": ""s =  \""226 \"""", ""expectedOutput"": ""3""}, {""input"": ""s =  \""06 \"""", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
92, Reverse Linked List II,['Linked List'],48.50%,False,Medium,https://leetcode.com/problems/reverse-linked-list-ii/description,https://leetcode.com/problems/reverse-linked-list-ii/solutions,reverse-linked-list-ii,"[{""input"": ""head = [1,2,3,4,5], left = 2, right = 4"", ""expectedOutput"": ""[1,4,3,2,5]""}, {""input"": ""head = [5], left = 1, right = 1"", ""expectedOutput"": ""[5]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
93, Restore IP Addresses,"['String', 'Backtracking']",51.40%,False,Medium,https://leetcode.com/problems/restore-ip-addresses/description,https://leetcode.com/problems/restore-ip-addresses/solutions,restore-ip-addresses,"[{""input"": ""s =  \""25525511135 \"""", ""expectedOutput"": ""[ \""255.255.11.135 \"", \""255.255.111.35 \""]""}, {""input"": ""s =  \""0000 \"""", ""expectedOutput"": ""[ \""0.0.0.0 \""]""}, {""input"": ""s =  \""101023 \"""", ""expectedOutput"": ""[ \""1.0.10.23 \"", \""1.0.102.3 \"", \""10.1.0.23 \"", \""10.10.2.3 \"", \""101.0.2.3 \""]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
94, Binary Tree Inorder Traversal,"['Stack', 'Tree', 'Depth-First Search', '1+']",77.30%,False,Easy,https://leetcode.com/problems/binary-tree-inorder-traversal/description,https://leetcode.com/problems/binary-tree-inorder-traversal/solutions,binary-tree-inorder-traversal,"[{""input"": ""root = [1,null,2,3]"", ""expectedOutput"": ""[1,3,2]""}, {""input"": ""root = []"", ""expectedOutput"": ""[]""}, {""input"": ""root = [1]"", ""expectedOutput"": ""[1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
95, Unique Binary Search Trees II,"['Dynamic Programming', 'Backtracking', '3+']",59.00%,False,Medium,https://leetcode.com/problems/unique-binary-search-trees-ii/description,https://leetcode.com/problems/unique-binary-search-trees-ii/solutions,unique-binary-search-trees-ii,"[{""input"": ""n = 3"", ""expectedOutput"": ""[[1,null,2,null,3],[1,null,3,2],[2,1,3],[3,1,null,null,2],[3,2,null,1]]""}, {""input"": ""n = 1"", ""expectedOutput"": ""[[1]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
